level,benchmark,model,distribution,persistence,n,valid,lower_whisker,q1,median,q3,upper_whisker
0.01,ES,GARCH,t4,high,1000,10000,0.2562533802069939,0.3848276515607131,0.42828537401000044,0.482037654855741,0.6274865153234883
0.01,ES,GARCH,t4,high,2500,10000,0.3044151303544593,0.39717114780215745,0.426562130954103,0.4605775410890419,0.5554522722709707
0.01,ES,GARCH,t4,high,5000,10000,0.325067103652481,0.39964115293076025,0.4235016314800296,0.45073154605094556,0.5268189806602469
0.01,ES,GARCH,t4,low,500,9954,0.1222574021407388,0.3561730338031016,0.4247968408769097,0.5218146555634562,0.7702039227453122
0.01,ES,GARCH,t4,low,1000,9990,0.2540514829926717,0.3804888862937821,0.42623534071227875,0.48579674683200874,0.6435934164331996
0.01,ES,GARCH,t4,low,2500,10000,0.2972496961242484,0.3919411603766529,0.4228527409511837,0.4597880389046001,0.5612732425776495
0.01,ES,GARCH,t4,low,5000,10000,0.3200897590874361,0.3953130072843508,0.41903248685008254,0.4479477902648625,0.5267334182220232
0.01,ES,GARCH,t8,high,500,9987,0.0535406900576269,0.3604495245756535,0.4472902744331685,0.5666040253504302,0.8754754618096051
0.01,ES,GARCH,t8,high,1000,10000,0.2286269628072679,0.38438318268160515,0.44464438910641735,0.5181813068588095,0.7188278002210443
0.01,ES,GARCH,t8,high,2500,10000,0.2727521581593994,0.40112869318933275,0.4431107638399156,0.48921057744782254,0.6211606832050259
0.01,ES,GARCH,t8,high,5000,10000,0.3092652848969449,0.4078564383675251,0.4411076585710617,0.4737457237397472,0.5716372632269288
0.01,ES,GARCH,t8,low,500,9961,0.0511905198027918,0.3638999123219203,0.4522910840695922,0.5761845488930661,0.8946072978639176
0.01,ES,GARCH,t8,low,1000,9997,0.2285624617289979,0.3849173736421552,0.4493054740082024,0.5252536080124344,0.7355310188940636
0.01,ES,GARCH,t8,low,2500,10000,0.2685716009892037,0.40059042731939776,0.44301389877235153,0.4906820825349396,0.6254388499871077
0.01,ES,GARCH,t8,low,5000,10000,0.3061501332406113,0.406298901025575,0.4396646306504479,0.47479646225999983,0.5771774549530015
0.01,ES,GJR-GARCH,normal,high,500,9996,0.1069946082505362,0.4033474920301263,0.507369326883807,0.6213340506707381,0.9476592710933068
0.01,ES,GJR-GARCH,normal,high,1000,10000,0.2150360358467747,0.4396846588120331,0.515828016676751,0.5928429311268638,0.8222954713513043
0.01,ES,GJR-GARCH,normal,high,2500,10000,0.3270264202106662,0.47414635027257984,0.5247556545064096,0.572791401979038,0.7190911341401209
0.01,ES,GJR-GARCH,normal,high,5000,10000,0.376793895633196,0.4882742723236684,0.527012527840288,0.562951047695347,0.6734228341133305
0.01,ES,GJR-GARCH,normal,low,500,9998,0.1980190239153212,0.43703299238442506,0.5390952914958023,0.6513891917066008,0.9727308017881168
0.01,ES,GJR-GARCH,normal,low,1000,10000,0.251641142473853,0.4665995330931513,0.5378829271771495,0.6131524027658681,0.8318723596045932
