model,distribution,persistence,n,rep,z_xi,z_ce
GJR-GARCH,normal,high,500.000000,44.000000,1.059210,-0.150071
GJR-GARCH,normal,high,500.000000,45.000000,0.514538,1.223573
GJR-GARCH,normal,high,500.000000,46.000000,0.979051,1.107311
GJR-GARCH,normal,high,500.000000,47.000000,0.340315,1.133570
GJR-GARCH,normal,high,500.000000,48.000000,0.322888,0.137518
GJR-GARCH,normal,high,500.000000,49.000000,1.859323,1.094604
GJR-GARCH,normal,high,500.000000,50.000000,0.878764,0.959555
GJR-GARCH,t4,high,500.000000,1.000000,0.449381,-0.525484
GJR-GARCH,t4,high,500.000000,2.000000,0.208476,0.440414
GJR-GARCH,t4,high,500.000000,3.000000,0.319048,0.196929
GJR-GARCH,t4,high,500.000000,4.000000,0.970450,1.063447
GJR-GARCH,t4,high,500.000000,5.000000,-0.281078,-0.127233
GJR-GARCH,t4,high,500.000000,6.000000,2.555857,1.042023
GJR-GARCH,t4,high,500.000000,7.000000,1.744013,-2.404277
GJR-GARCH,t4,high,500.000000,8.000000,-0.552781,-0.605288
GJR-GARCH,t4,high,500.000000,9.000000,-0.048550,-0.217719
GJR-GARCH,t4,high,500.000000,10.000000,-0.460214,-0.312841
GJR-GARCH,t4,high,500.000000,11.000000,1.106112,-0.712163
GJR-GARCH,t4,high,500.000000,12.000000,1.857140,0.578505
GJR-GARCH,t4,high,500.000000,13.000000,-0.272579,-1.342023
GJR-GARCH,t4,high,500.000000,14.000000,0.914353,-1.220972
GJR-GARCH,t4,high,500.000000,15.000000,-1.149383,1.021587
GJR-GARCH,t4,high,500.000000,16.000000,0.761775,0.004447
GJR-GARCH,t4,high,500.000000,17.000000,0.557583,0.370239
GJR-GARCH,t4,high,500.000000,18.000000,-0.448240,-0.974912
GJR-GARCH,t4,high,500.000000,19.000000,0.426516,0.111181
GJR-GARCH,t4,high,500.000000,20.000000,2.028051,1.359670
GJR-GARCH,t4,high,500.000000,21.000000,2.277892,-0.098082
