ticker,date,window_start,window_end,window_size,garch_omega,garch_alpha1,garch_beta1,garch_gamma,realized_return,sigma,xi,xi_lo,xi_hi,ce,ce_se,ce_lo,ce_hi,ci_level,xp_fixed_tau,xp_fixed,xp_fixed_se,xp_fixed_lo,xp_fixed_hi,xp_fixed_alpha,es_01_alpha,es_01,es_01_se,es_01_lo,es_01_hi,es_01_var,es_01_var_se,var_alpha,var,var_se,var_lo,var_hi,es_alpha,es_var,es_var_se,es,es_se,es_lo,es_hi,tau_alpha,omega_alpha,alpha_tau,exception_var,exception_ce,exception_xp_fixed
BNB,2020-09-04,2017-12-09,2020-09-03,1000,0.9726531274,0.1050398038,0.849253479,0.06496877967,2.093464699,8.318702554,-3.090288833,-3.76415748,-2.416420186,-25.7071936,5.365445524,-36.22327359,-15.19111362,0.95,0.01,-18.49617123,3.529316971,-25.41350539,-11.57883708,0.02,0.01,-35.75043071,7.552194726,-50.55246037,-20.94840104,-25.7071936,4.994826659,0.01,-25.7071936,4.994826659,-35.49687397,-15.91751324,0.025,-17.57265343,3.053006373,-26.30710019,4.952911869,-36.01462907,-16.59957131,0.003474337561,286.8246521,0.01,false,false,false
BNB,2020-09-05,2017-12-10,2020-09-04,1000,0.9751368447,0.1064609816,0.8497305067,0.05959765697,-7.786559547,7.69563257,-2.950028406,-3.643323103,-2.256733709,-22.70233468,4.587191441,-31.6930647,-13.71160467,0.95,0.01,-16.86128732,2.999389677,-22.73998307,-10.98259158,0.02,0.01,-33.04567917,6.752707369,-46.28074241,-19.81061593,-22.70233468,4.266623008,0.01,-22.70233468,4.266623008,-31.06476211,-14.33990725,0.025,-16.08926268,2.49427618,-24.01189457,4.186750668,-32.21777509,-15.80601405,0.004040378473,246.5015662,0.01,false,false,false
BNB,2020-09-06,2017-12-11,2020-09-05,1000,0.9766159975,0.1065828966,0.8498239581,0.05832541858,17.44246934,7.813337913,-2.949900083,-3.64485606,-2.254944107,-23.04856616,4.609395872,-32.08281606,-14.01431626,0.95,0.01,-17.12429544,3.001759604,-23.00763616,-11.24095473,0.02,0.01,-33.57582348,6.797865378,-46.8993948,-20.25225217,-23.04856616,4.269574252,0.01,-23.04856616,4.269574252,-31.41677793,-14.6803544,0.025,-16.33752256,2.506284794,-24.3939028,4.193409906,-32.61283518,-16.17497041,0.004047362907,246.0744588,0.009,false,false,false
BNB,2020-09-07,2017-12-12,2020-09-06,1000,0.9991089669,0.1074353489,0.8462502228,0.06576135724,-3.49876066,9.330606375,-2.969445724,-3.661626589,-2.277264858,-27.7067292,5.106721435,-37.71571929,-17.69773911,0.95,0.01,-20.40922762,3.316584695,-26.90961418,-13.90884107,0.019,0.01,-39.9476432,7.471569986,-54.59165128,-25.30363512,-27.7067292,4.76768138,0.01,-27.7067292,4.76768138,-37.05121299,-18.36224541,0.025,-19.52002569,2.653497291,-29.07888881,4.528784208,-37.95514275,-20.20263487,0.003915328231,254.4064286,0.009,false,false,false
BNB,2020-09-08,2017-12-13,2020-09-07,1000,0.9962897766,0.1055128481,0.8469144124,0.06712792152,3.496975897,8.733995702,-2.970489147,-3.663558841,-2.277419454,-25.94423945,4.506477369,-34.77677278,-17.11170611,0.95,0.01,-19.12046315,2.873566823,-24.75255064,-13.48837567,0.019,0.01,-37.41254543,6.559800017,-50.2695172,-24.55557365,-25.94423945,4.108374318,0.01,-25.94423945,4.108374318,-33.99650514,-17.89197375,0.025,-18.2533913,2.174203784,-27.24294755,3.855878058,-34.80032967,-19.68556543,0.003917232366,254.2822775,0.009,false,false,false
BNB,2020-09-09,2017-12-14,2020-09-08,1000,0.9972428943,0.1036076627,0.8473162499,0.06879429934,5.617683849,8.154202149,-2.972625726,-3.659735722,-2.28551573,-24.23939108,4.018020073,-32.11456571,-16.36421645,0.95,0.01,-17.86550916,2.520030648,-22.80467847,-12.92633985,0.019,0.01,-34.93616201,5.823207221,-46.34943843,-23.52288558,-24.23939108,3.578237827,0.01,-24.23939108,3.578237827,-31.25260835,-17.22617381,0.025,-17.01798549,1.800545445,-25.45322964,3.33044459,-31.98078109,-18.92567819,0.003911095472,254.6828406,0.009,false,false,false
BNB,2020-09-10,2017-12-15,2020-09-09,1000,0.9755259776,0.09627034414,0.8516565076,0.07260478506,0.1205872132,7.711319085,-2.958313086,-3.641097723,-2.275528449,-22.81249616,3.720066445,-30.10369241,-15.5212999,0.95,0.01,-16.90221175,2.311542356,-21.43275152,-12.37167199,0.019,0.01,-33.0381352,5.67244371,-44.15592057,-21.92034982,-22.81249616,3.389968187,0.01,-22.81249616,3.389968187,-29.45671171,-16.1682806,0.025,-15.98079054,1.777821473,-24.08458309,3.28911984,-30.53113952,-17.63802667,0.003971119299,250.8181713,0.01,false,false,false
BNB,2020-09-11,2017-12-16,2020-09-10,1000,0.9977898996,0.09825482871,0.8487453892,0.07489082998,3.565672843,7.198454898,-2.971860291,-3.593431049,-2.350289533,-21.39280227,3.157577137,-27.58153974,-15.2040648,0.95,0.01,-15.80542962,2.016864974,-19.75841233,-11.85244691,0.02,0.01,-30.78852186,4.863172923,-40.32016564,-21.25687808,-21.39280227,2.870041143,0.01,-21.39280227,2.870041143,-27.01797954,-15.76762499,0.025,-15.15241451,1.409367967,-22.52724319,2.680718491,-27.78135488,-17.27313149,0.003896779992,255.6221347,0.01,false,false,false
BNB,2020-09-12,2017-12-17,2020-09-11,1000,0.9863711572,0.09202750452,0.851692109,0.079793475,11.41795353,6.766361197,-2.963227966,-3.582423664,-2.344032267,-20.05027073,2.953393193,-25.83881502,-14.26172643,0.95,0.01,-14.91828985,1.881320897,-18.60561105,-11.23096865,0.02,0.01,-28.90871974,4.633279057,-37.98977982,-19.82765965,-20.05027073,2.576083929,0.01,-20.05027073,2.576083929,-25.09930245,-15.001239,0.025,-14.1812796,1.364128798,-21.2518277,2.586519476,-26.32131272,-16.18234268,0.003921283124,254.0185662,0.01,false,false,false
BNB,2020-09-13,2017-12-18,2020-09-12,1000,1.012928843,0.0934456464,0.8476720369,0.08786010423,8.492586729,7.225226989,-3.37556594,-4.00618079,-2.74495109,-24.38923013,3.545137596,-31.33757214,-17.44088812,0.95,0.01,-16.49490173,2.212240147,-20.83081274,-12.15899072,0.02,0.01,-31.36510203,4.586433603,-40.35434671,-22.37585735,-24.38923013,3.238867493,0.01,-24.38923013,3.238867493,-30.73729377,-18.04116649,0.025,-15.32018054,1.705886593,-23.40214811,3.030299336,-29.34142567,-17.46287055,0.002554103934,390.5267452,0.009,false,false,false
