model,distribution,persistence,n,tau,scale,replications,valid_wald,bias,bias_mcse,rmse,rmse_mcse,wald_sd,wald_sd_mcse,coverage,coverage_mcse
GARCH,normal,high,1000,tau_0p01,xi,10000,10000,-0.01574451279564574,0.0006205779838462603,0.06402089429619919,0.0005328116406406174,1.043817460818253,0.007772047649871931,0.9333,0.0024950172344094133
GARCH,normal,high,1000,tau_0p01,ce,10000,10000,-0.017879303520015457,0.0011925552719048223,0.12058245341576088,0.0012179309821107984,1.0567921318402633,0.008717534480354566,0.9391,0.002391467959225044
GARCH,normal,high,1000,tau_0p05,xi,10000,10000,-0.009245686766783247,0.0003866424869725248,0.03975245097726338,0.00028489554961792747,1.0305412763253885,0.00750660061780388,0.9347,0.0024705446767868825
GARCH,normal,high,1000,tau_0p05,ce,10000,10000,-0.010492052690871008,0.0007717926112519634,0.07788533786062993,0.0007836904169881743,1.042749187893522,0.008185647049551872,0.9365,0.0024386010333795893
GARCH,t8,high,1000,tau_0p01,xi,10000,10000,-0.017209945314240645,0.000969319595833009,0.09844311771728365,0.0008798548427867284,1.0732829543610227,0.008068737923859806,0.9334,0.002493279767695555
GARCH,t8,high,1000,tau_0p01,ce,10000,10000,-0.020137366148464918,0.001945513543044059,0.19558107769958127,0.0029850928486537145,1.1069034502194228,0.009292625756794811,0.9287,0.0025732529996096384
GARCH,t8,high,1000,tau_0p05,xi,10000,10000,-0.011069009983203296,0.00047676676945152804,0.04894242740187971,0.00036852087291189023,1.0353779194146056,0.007558237573145365,0.9344,0.0024758158251372412
GARCH,t8,high,1000,tau_0p05,ce,10000,10000,-0.011892544812880615,0.0010591344031234374,0.10657376644952965,0.0017774944888193733,1.0582275141951507,0.008130890612520349,0.9375,0.0024206145913796356
GARCH,t4,high,1000,tau_0p01,xi,10000,10000,-0.030409971553788728,0.0017078015370092126,0.1734580948872745,0.002208832049237906,1.0895425647680643,0.008557954099357525,0.9299,0.002553154715249353
GARCH,t4,high,1000,tau_0p01,ce,10000,10000,-0.03380657103596627,0.004025236238703693,0.40392072179100563,0.015971517090007027,1.1868830277681224,0.011258764969424953,0.9056,0.002923844045088589
GARCH,t4,high,1000,tau_0p05,xi,10000,10000,-0.02036978640838602,0.0006711978744412193,0.0701394579269096,0.0006017287063567228,1.075884070531575,0.008077561324966342,0.9171,0.002757310102255457
GARCH,t4,high,1000,tau_0p05,ce,10000,10000,-0.016841079425407947,0.0017564267563600425,0.17643946958046844,0.006899291880654838,1.0938705762273468,0.010299139932071691,0.9324,0.0025105824025512483
GARCH,normal,low,2500,tau_0p01,xi,10000,10000,-2.1463216843764798e-05,0.0003631724635521182,0.036315436790110914,0.00025813346384666785,1.0106202824336172,0.007325928123579489,0.947,0.0022403347964087875
GARCH,normal,low,2500,tau_0p01,ce,10000,10000,-0.00018584152946459528,0.0007263841278881317,0.07263501852172162,0.0007810705152789429,1.0289726825485432,0.009516838012712373,0.9492,0.0021958907076628374
GARCH,normal,low,2500,tau_0p05,xi,10000,10000,-0.0005340770727582771,0.00023403320265916964,0.02340824355326086,0.00016739031431691384,0.9954913609755889,0.007157778348346447,0.9493,0.002193843886879829
GARCH,normal,low,2500,tau_0p05,ce,10000,10000,-0.0007792031558926435,0.00047729310809409064,0.047733284605066637,0.0005112130947781542,1.018192966139203,0.009556183836359363,0.9507,0.0021649367196294677
GARCH,t8,low,2500,tau_0p01,xi,10000,10000,0.000372327613574951,0.0005727754575429688,0.057275891994473895,0.0004029807796117158,1.027027152396356,0.007331466762023569,0.9444,0.002291476379978637
GARCH,t8,low,2500,tau_0p01,ce,10000,10000,0.002809885529187401,0.00113748040075259,0.11377705487481984,0.0013105432960278016,1.052149026218596,0.008076398697500393,0.9371,0.002427830101139698
GARCH,t8,low,2500,tau_0p05,xi,10000,10000,-0.0010779612448701503,0.0002918020282550204,0.029198648752282796,0.0002060911386056309,1.0110561124514073,0.007196102172690896,0.9434,0.0023107669722410348
GARCH,t8,low,2500,tau_0p05,ce,10000,10000,0.0002758500552096961,0.0006249556583488583,0.06249304979516207,0.0007569973152888249,1.0312130197841167,0.007674875132173847,0.9399,0.0023767202191255082
GARCH,t4,low,2500,tau_0p01,xi,10000,10000,-0.007642689951934976,0.0010350429870985979,0.10378091947528768,0.000980908896232455,1.0326556034445733,0.007739988009522743,0.9435,0.0023088471149038865
